vocabulary,definition,short,chinese,long
surfeit,"1. indulge (one's appetite) to satiety
2. supply or feed to surfeit
3. the state of being more than full
4. eating until excessively full
5. the quality of being so overabundant that prices fall","Steve baked asurfeitof jam tarts. Steve ate asurfeitof jam tarts. Stevesurfeitedhimself on jam tarts. Whethersurfeitis a noun or a verb (as in ""overabundance"" or ""gorge""), Steve is likely to end up with a bellyache.",过多的，多余的 an overabundant supply : excess,"""Overabundance,"" ""glut,"" ""gorge,"" and ""cloy"": these are all synonyms forsurfeit, and they all convey a  sense of too-much-ness, as does the Old French root of the word âsurfaire, ""to overdo.""  When it is used in reference to food or eating,surfeittends to suggest indulging to the point of sickness or disgust. In other contexts, though, the meaning is not necessarily negative: ""Asurfeitof kindness,"" for example, would hardly be a bad thing."
conundrum,1. a difficult problem,"The tricky wordconundrumis used to describe a riddle or puzzle, sometimes including a play on words or pun.",难题,"One of the most famousconundrumsis the riddle of the Sphinx, famously in the playOedipus the Kingby Sophocles. Oedipus encounters the Sphinx, a mythical beast, who asks him, ""What walks on four legs in the morning, two in the afternoon, and three in the evening?"" The answer is ""A person"": crawling as a child, walking as an adult, and using a cane in old age. The scary thing is that if the Sphinx asked you the riddle and you didn't know, she'd eat you!"
revelation,"1. the act of making something evident
2. an enlightening or astonishing disclosure
3. communication of knowledge to man by a divine or supernatural agency","Discovering that you had a long-lost sister would definitely be arevelation, or a surprising realization. Finding out she had been living in the house next door for years would be an even more startlingrevelation!",,"It is not a surprise that the wordrevelationis related to the wordreveal, because revealing is the action of showing something that was previously covered up or unknown. You can even use both words in the same sentence: ""You might find it arevelationif someonerevealedto you that your house was sitting on top of a gold mine!"""
transparent,"1. transmitting light; able to be seen through with clarity
2. so thin as to transmit light
3. easily understood or seen through (because of a lack of subtlety)
4. free of deceit","You can see right through somethingtransparent. A window istransparent, but so are the intentions of a Peeping Tom looking through that window.",易懂的,"Obviously the glass of a window istransparent, buttransparencyis also a way to describe something that is clearly understood and lacks any deception or secrecy.  Reporters use it these days to describe the ideal way for government to develop policy, where voters can see the process and how decisions are achieved. Some in government, however, would argue that the leaking of top-secret information takes it a step too far."
bar,"1. a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon
2. a block of solid substance (such as soap or wax)
3. a narrow marking of a different color or texture from the background
4. an obstruction (usually metal) placed at the top of a goal
5. a horizontal rod that serves as a support for gymnasts as they perform exercises
6. a submerged (or partly submerged) ridge in a river or along a shore
7. a heating element in an electric fire
8. secure with, or as if with, bars
9. a counter where you can obtain food or drink
10. a room or establishment where alcoholic drinks are served over a counter
11. the act of preventing
12. render unsuitable for passage
13. expel, as if by official decree
14. prevent from entering; keep out
15. (meteorology) a unit of pressure equal to a million dynes per square centimeter
16. musical notation for a repeating pattern of musical beats
17. the body of individuals qualified to practice law in a particular jurisdiction
18. (law) a railing that encloses the part of the courtroom where the judges and lawyers sit and the case is tried","If youbara college student from entering abarbecause he's too young to drink, it means that you prevent him from going into an establishment that serves alcoholic beverages.",阻止,"Baris one of those handy words with many different meanings. There's the kind of bar where you order coffee or a drink. There is also the bar that a bartender keeps close at hand in case she needs a weapon when patrons get rowdy â like a long piece of metal. And when you bar something, you make it inaccessible in some way. The wordbarcomes from the French wordbarre, which means ""beam, gate, or barrier."""
rudimentary,"1. being in the earliest stages of development
2. not fully developed in mature animals
3. being or involving basic facts or principles","Rudimentarymeans basic, or at a very early stage. The test should be easy: it requires only arudimentaryunderstanding of the materials.",发育不成熟的,The wordrudemeans simple or offensiveââpeople with onlyrudimentaryunderstanding of good manners might not know how that belching isrude. Remember that the wordrudeis the foundation ofrudimentaryyou'll have a rudimentary understanding of the word.
conjure up,"summon into action or bring into existence, often as if by magic",,=bring to mind使想起,
strip away,,除去，揭掉,,
halfhearted,1. feeling or showing little interest or enthusiasm,"Use the adjectivehalfheartedto describe something that's unenthusiastic, uninterested, or grudging. A pitcher'shalfheartedthrow of the baseball isn't too likely to end up being a strike.",无兴趣的,"When you're halfhearted about the book you're reading, you may put it down mid-way through and never pick it up again, and a halfhearted audition for a play isn't likely to earn you a starring role. This noun, sometimes spelled with a hyphen,half-hearted, comes from the idea that if only half your heart is invested in something, you're not very excited about it. In the seventeenth century, the adjectivehalf-headedwas also common, meaning ""stupid."""
condemn,"1. express strong disapproval of
2. demonstrate the guilt of (someone)
3. pronounce a sentence on (somebody) in a court of law
4. compel or force into a particular state or activity
5. declare or judge unfit for use or habitation
6. appropriate (property) for public use","You cancondemn, or openly criticize, someone who is behaving inappropriately. If you are an animal rights activist, you would probablycondemnsomeone for wearing fur.",迫使某人陷入不利的状况: condemned to death,"Condemnoriginally comes, through Old French, from the Latin wordcondemnÄre, ""to sentence, condemn."" You may see politicians condemn each other in political ads during a campaign in hopes of improving their chances of winning an election. You also might hear of a convict being ""condemnedto death."" In this sense of the word, tocondemnstill carries on its Latin meaning of ""to sentence."""
condone,"1. excuse, overlook, or make allowances for; be lenient with","If youcondonesomething, you allow it, approve of it, or at least can live with it. Some teacherscondonechewing gum, and some don't.",饶恕，允许,"Things that are condoned are allowed, even if everyone isn't exactly thrilled about it. People often say, ""I don'tcondonewhat he did, but I understand it."" Condoning is like excusing something. People seem to talk more about things they don't condone than things they do condone. Your mom might say, ""I don'tcondoneyou staying up till 10, but I know you need to read."" That's a way of giving approval and not giving approval at the same time."
inert,"1. unable to move or resist motion
2. slow and apathetic
3. having only a limited ability to react chemically; chemically inactive","Something that's unable to move or moving without much energy can be described asinert. Wind up in a body cast and you’ll find yourself not only itchy, but totallyinert.",不能动的,"When motion is restricted or sluggish, or when something or someone appears lifeless, the adjective to use isinert. A dog who's playing dead is inert, as is a really boring movie. Or for those of you paying attention in chemistry class, you may have heard of inert gases — those elements that won't react with other elements or form chemical compounds."
jubilant,"1. full of high-spirited delight
2. joyful and proud especially because of triumph or success","If you were the quarterback that threw the touchdown pass that won the Super Bowl, you would bejubilant: filled with joy.",因胜利而兴高采烈,"When you feel jubilant, youâre full of extreme happiness. Usually people are jubilant after great victories, whether in sports, politics, or life. When you're jubilant, it's a moment of extreme happiness, like giving birth or watching a child graduate. There can also be jubilant songs, jubilant performances, even jubilant periods in history, times when people are especially proud and filled with triumph. The end of World War II was just such a jubilant moment."
enervated,1. lacking strength or vigor,,缺乏生机,
circumscribe,"1. draw a geometric figure around another figure so that the two are in contact but do not intersect
2. draw a line around
3. restrict or confine, ""I limit you to two visits to the pub a day""","Tocircumscribeis to limit or restrict. If you spend too much time watching TV instead of fulfilling other obligations, you might circumscribe your TV-watching time to one hour daily (or two hours, if your favorite show is on).",限制,"Circumscribecomes from the Latin wordscircum, meaning ""around,"" andscribere, meaning ""to write."" If the wordcircumscribecauses you to think of geometry class, give yourself a pat on the back. In geometry,circumscribemeans to draw one geometric figure around another figure so that the two figures touch but donât intersect. If you studied geometry but this sounds unfamiliar, perhaps you should have taken our advice about watching too much TV."
proselytizer,,=convert=evangelize,主动或者劝他人眫依宗教,
import,"1. bring in from abroad
2. commodities (goods or services) bought from a foreign country
3. an imported person brought from a foreign country
4. transfer (electronic data) into a database or document
5. a meaning that is not expressly stated but can be inferred
6. the message that is intended or expressed or signified
7. having important effects or influence
8. indicate or signify",Importsare the products shipped into our country from other places. WeimportJapanese autos and export our pop music to Tokyo.Importalso means to signify something. Is it ofimportto our economic security to have so many Japaneseimportson our roads?,重要性: import of her message,"The origins of the wordimportare literally ""to bring into port."" The ratio ofimportsto exports is a big indicator of the health of a nation's economy. The wordimportcan also refer to attitudes or behaviors that come as part of the culture of a place. ""New York media is dominated by British journalists who haveimportedthe snarky style of gossip reporting famous in London."""
accession,"1. the act of attaining or gaining access to a new office or right or position (especially the throne)
2. the right to enter
3. (civil law) the right to all of that which your property produces whether by growth or improvement
4. a process of increasing by addition (as to a collection or group)
5. something added to what you already have
6. make a record of additions to a collection, such as a library
7. agreeing with or consenting to (often unwillingly)",Accessionis the act of advancing into a position. Being elected class president is a kind ofaccession.,登基／就职,"Accessionoriginally referred to a queen or king taking the throne. From the Latin term,accessionem, meaning ""joining or increasing,”accessionmay refer to the gaining ofaccessto any formal position, group, or right. It can also mean “agreement” — think of it as “joining in.”Accessionmay also refer to property — either something that increases your original collection, or the right to all of your property even through growth — such as the golden egg your new hen laid."
laconic,1. brief and to the point; effectively cut short,"Laconicis an adjective that describes a style of speaking or writing that uses only a few words, often to express complex thoughts and ideas.  A morelaconicway to write that last sentence might be this:laconicmeans brief.",言简意骇的,"There’s a friend of yours who doesn’t talk very much, and when he does, he says maybe three words and then becomes quiet again.  You could describe that friend as laconic.  The word comes from Laconia, a region in ancient Greece where the local Spartan rulers gave very short speeches.  Being laconic can be bad when it sounds rude to be so brief, but it can be good if you’re in a rush to get somewhere."
befuddled,"1. perplexed by many conflicting situations or statements; filled with bewilderment
2. confused and vague; used especially of thinking
3. stupefied by alcoholic drink","When you'rebefuddled, you're bewildered, confused, lost, or mixed-up. In other words, you don't know what's going on.",=bewildered=confused=lost,"A befuddled person is so confused that they just can't understand or figure something out. Or they've had way too much to drink. A difficult math problem could leave you befuddled. If your teacher showed up in a gorilla suit one day, you'd probably be pretty befuddled. Things that are vague and perplexing can also be described as befuddled, like a speech that makes no sense."
inveterate,"1. habitual
2. in a habitual and longstanding manner","If you're aninveteratedoodler, all your notebooks are covered with drawings. If you're aninveterategolf player, you probably get twitchy if you haven't been out on a course in a week.",习惯性的，根深蒂固的,"In Middle Englishinveteratewas associated with chronic disease. Now it simply refers to something that is a signature habit with a person. Unless you're aninveterategambler, drinker or smokerââin which case you're addicted and we're back to talking about being sick."
conjectural,1. based primarily on surmise rather than adequate evidence,,推测的,
derivative,"1. a compound obtained from, or regarded as derived from, another compound
2. the result of mathematical differentiation; the instantaneous change of one quantity relative to another; df(x)/dx
3. a financial instrument whose value is based on another security
4. (linguistics) a word that is derived from another word
5. resulting from or employing derivation","Alert: shifting parts of speech! As a noun, aderivativeis kind of financial agreement or deal. As an adjective, though,derivativedescribes something that borrows heavily from something else that came before it.",缺乏创新的,"The economic meltdown of the last decade is due largely to the mismanagement ofderivatives, which are deals based on the outcome of other deal. A movie plot might be described asderivativeif it steals from another film â say, if it lifts the tornado, the witch, and the dancing scarecrow fromThe Wizard of Oz."
theatrics,,,戏剧化的言行,
hidebound,1. stubbornly conservative and narrow-minded,"Hideboundthings — or people — are stuck in the past, unable to change. Your boss'shideboundattitudes about gender make him reluctant to hire women for most jobs.",墨守成规的,"Someone who's painfully old fashioned, with chauvinistic, conservative ideas and beliefs about the world can be described ashidebound. A hidebound culture can make a school, family, or workplace difficult and unpleasant for anyone who doesn't fit those narrow-minded concepts. In the 16th century, the adjective originally described a condition of cattle, an unhealthy and emaciated state.Hideboundevolved from there, first describing painfully thin people, then those who are ""narrow in outlook."""
embolden,1. give encouragement to,Toemboldensomeone is to inspire them. You mightemboldenyour brother to try out for a play by enthusiastically praising his singing and dancing abilities.,vt: 怂恿某人去做某事，给…壮胆,"Shy kids sometimes need a friend or a teacher who will embolden them to speak up for themselves, and a good grade in a difficult class will embolden a student to attempt more challenging courses. When you cheer up a friend or encourage a coworker, you embolden those people. Toemboldenis ""to makebold,"" from the Old English root wordbeald, which means ""brave, confident, or strong."""
lambaste,"1. censure severely or angrily
2. beat with a cane",Tolambasteis to reprimand or berate someone severely. Peoplelambastethose who have angered or disappointed them.,谴责,"Have you ever watched a basketball game and noticed a coach yelling like a maniac at a referee? That coach is lambasting the referee. Lambasting is also called chewing out, taking to task, scolding, reprimanding, berating, bawling out, and chiding. Parents lambaste disobedient kids. A boss might lambaste a worker who is late all the time. Lambasting is severe and goes way beyond criticizing. When you are lambasting, you are furious at someone and letting them know it."
stale,"1. lacking freshness, palatability, or showing deterioration from age
2. lacking originality or spontaneity; no longer new
3. urinate, of cattle and horses","If something isstale, it's no longer fresh. Ever bite into a piece of bread that's been left out a little too long? Chances are it'sstale, or dry and hard to eat. Try making some croutons out of it.",乏味的，缺乏新鲜感的,"The wordstalecomes from the Old Frenchestalermeaning ""to halt,"" which is what happens to your jaw when you try and bite down on a piece of stale bread â it just can't chew through it. Butstaleisn't a word that's used only when talking about food. When an idea is stale, it's old or boring. And when a horse stales, it's not old and crusty, it's urinating. Step aside."
circumvent,"1. surround so as to force to give up
2. avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)
3. beat through cleverness and wit",Tocircumventis to avoid. Someone who trains elephants but somehow gets out of picking up after them has found a way tocircumventthe cleaning of the circus tent.,绕过,"Circumin Latin means ""around"" or ""round about,"" andvent-comes fromvenire,""to come,"" but painting a picture from these two parts of the word helps. Picture someone circling around a barrier instead of climbing over it. That's what you do when you circumvent. You find a smart way around rules or barriers, or avoid doing something unpleasant altogether."
teem,"1. be teeming, be abuzz
2. move in large numbers","If your neighborhood seems toteemwith cats, that means there are a lot of cats running around. When somethingteems, it swarms or overflows with a large number of things.",充满了,"Don't confuseteemwithteam. The two words may sound the same, but they have different meanings. Use the nounteamwhen describing a group of people with a common goal, and turn to the verbteemfor those times when you need to say that something is overflowing or crowded.Teemis almost always used with the prepositionwith, as when the busy streets teem with activity."
roll,"1. move by turning over or rotating
2. move along on or as if on wheels or a wheeled vehicle
3. cause to move by turning over or in a circular manner of as if on an axis
4. arrange or or coil around
5. shape by rolling
6. take the shape of a roll or cylinder
7. show certain properties when being rolled
8. flatten or spread with a roller
9. move in a wavy pattern or with a rising and falling motion
10. occur in soft rounded shapes
11. begin operating or running
12. execute a roll, in tumbling
13. move about aimlessly or without any destination, often in search of food or employment
14. move, rock, or sway from side to side
15. boil vigorously
16. sell something to or obtain something from by energetic and especially underhanded activity
17. rotary motion of an object around its own axis
18. anything rolled up in cylindrical form
19. photographic film rolled up inside a container to protect it from light
20. a document that can be rolled up (as for storage)
21. a roll of currency notes (often taken as the resources of a person or business etc.)
22. a list of names
23. a long heavy sea wave as it advances towards the shore
24. a round shape formed by a series of concentric circles (as formed by leaves or flower petals)
25. walking with a swaying gait
26. a flight maneuver; aircraft rotates about its longitudinal axis without changing direction or losing altitude
27. the act of rolling something (as the ball in bowling)
28. the act of throwing dice
29. small rounded bread either plain or sweet
30. emit, produce, or utter with a deep prolonged reverberating sound
31. pronounce with a roll, of the phoneme /r/
32. a deep prolonged sound (as of thunder or large bells)
33. the sound of a drum (especially a snare drum) beaten rapidly and continuously","When something moves by rotating or spinning, itrolls. If your dog is smart enough, you can train her torolla ball back to you after yourollit to her.",惹怒某人,"You can roll down a hill, or roll up a rug. You can also roll out dough for a pie â by flattening it with a rolling pin â or roll up a car window, which once required turning a handle, but today usually involves pushing a button. You can roll dice, or toss them on a table, and tears can roll, or drip, down your cheeks. As a noun, arollcan be an individual loaf of bread, a list of names, or a cylinder."
barring,1. the act of excluding someone by a negative vote or veto,,=excepting，除...之外,
anthropogenic,1. of or relating to the study of the origins and development of human beings,"Anthropogenicis an adjective that describes changes in nature made by people. If your town has rerouted water from the river for drinking water, that is ananthropogenicactivity.",和人类起源有关的,"Whenever you see the word rootanthro, you can bet there’s a person involved, andanthropogenicis a particularly good example. From the Greekanthropogenes, meaning ""born of man,”anthropogeniccan refer to any changes in nature that are caused by people — like the existence of roads or cities where once there were forests. Most often, you will hearanthropogenicas an adjective describing pollution — such as the anthropogenic causes of the hole in the ozone layer."
molder,1. break down,"Tomolderis to disintegrate or rot. If you store your books in the damp basement of your uncle's house, they're sure tomolder.",逐渐腐烂，变成碎片,"Things molder when they're neglected or left to fall apart or become rotten. A ripe peach left on the counter will eventually molder, and even a person might molder, abandoned to grow old all alone in a remote rural house. You can see the wordmoldwhen you look at the verbmolder, and in fact that's its origin, specifically the old verb form ofmold, which is related to the Old Norsemygla, ""grow moldy."""
recant,"1. formally reject or disavow a formerly held belief, usually under pressure","If you're someone who speaks before you think, you may need torecant, or take back, that overly honest assessment of your friend's new haircut.",收回之前所说的话,"Recantcomes from two Latin roots: the prefixre-, meaning ""back,"" and the verbcantare, meaning ""to sing."" It has been suggested thatrecantwas first used when someone reversed a charm, curse, or some other type of magical spell that would have been chanted or sung.  Regardless of whether this is true or not, we suggest that you refrain from singing when you need to recant â unless you've been casting nasty spells on people."
encomium,,,赞语,
aver,"1. declare or affirm solemnly and formally as true
2. report or maintain","Toaveris to declare something is true or to state. This verb has a serious tone, so you mightaversomething on a witness stand or you mightaverthat you won't back down to a challenge.",正式宣布,"The verbavercomes to English via the Latin root wordsad, meaning ""to,"" andverus, meaning ""true."" The word can have the sense of formally declaring something is true, but it can also mean to report positively: ""The grandmotheraverredthat her granddaughter would make a fine veterinarian because of her love and caring for animals."""
avow,"1. to declare or affirm solemnly and formally as true
2. admit openly and bluntly; make no bones about","When youavowsomething, you say it openly for the whole world to hear. If you're a witness in a trial, you'll be asked to take an oath in which you'llavowthat you'll tell the truth.",公开宣布,"A simple way to remember the meaning ofavowis that it sounds and looks a whole lot like ""a vow,"" to which it's closely related. At the end of almost every wedding, the couple takes their vows, in which they avow their commitment to each other. To take a vow is to avow the things that you say in that vow. Be sure that you mean what you say when you avow something, because people will hold you to it. And don't mutter or mumble. That's no way to avow something."
concomitant,"1. following or accompanying as a consequence
2. an event or situation that happens at the same time as or in connection with another",Concomitantmeans accompanying. If you run into someone that you have a crush on you might feel nervousness with aconcomitantforgetfulness.,伴随,"Concomitantis one of those Latin-based words you can break down into little pieces:conmeans with, andcomitmeans companion. So something that is concomitant is like the companion of the main event. If you start training really hard at the gym, the main effect is that you become stronger, but there are concomitant effects, like better circulation, or a rosy glow, or getting happy from all those endorphins youâre releasing."
august,"1. profoundly honored
2. of or befitting a lord",Augustis not just the eighth month of the year; it also describes something esteemed or regal. The 200-year-old newspaper covering the royal wedding might be called anaugustinstitution.,庄严的,"The month August was named for Augustus Caesar who was an important and regal person. This is an easy way to remember the two meanings. Interestingly enough, linguists think that the wordaugustdid not descend from the same root as the month August. Find that hard to believe? August sources disagree. Oh, and don't forget to pronounce each word properly â the month has the accent on the first syllable, the adjective on the second."
chum,"1. a close friend who accompanies his or her buddies in their activities
2. bait consisting of chopped fish and fish oils that are dumped overboard to attract fish
3. a large Pacific salmon with small spots on its back; an important food fish",Achumis a friend or a pal. You and your bestchumsmight spend the weekend camping together.,英式英语：伙伴,"The informal wordchumis more common in Britain than the US, but you can still talk about your school chums or the new chum you made on a Caribbean cruise. Another kind ofchumcouldn't be more different from a buddy: it's chopped up fish parts used as bait on a fishing boat. This meaning comes from the Scottishchum, ""food,"" while the first definition was Oxford University slang for a roommate or ""chamber fellow."""
flout,"1. treat with contemptuous disregard
2. laugh at with contempt and derision","Tofloutis to scorn or show contempt for. ""Ifloutthe law and the concept of civilian safety by making a concerted effort to jaywalk every time I cross a street.""",因为长期的忽视而腐败／破碎,"Oddly enough, whenfloutcame into existence in the 1550s, it had a much different sense to it than it does now; it's believed that it evolved from the Middle Englishflowten“to play the flute."" As a verb, it means to scorn, as in, for example, to scorn a law, person, or social norm by defying it. As a noun, it is a contemptuous remark or insult. Wrote William Shakespeare, “Flout'em, and scout 'em; and scout 'em andflout'em; Thought is free.”"
oblivious to,,,没意识到,
countermand,"1. cancel officially
2. a contrary command cancelling or reversing a previous command","When an officer in the military shouts, “Belay that order, Private!” that is acountermand. Acountermandis an order that cancels or reverses an earlier command.Countermandis also used as a verb meaning “to cancel or revoke.”",撤销（命令或者裁决）,"Countermeans “opposing” or “opposite,” andmandis short for “mandate” or “command.” Put them together and you’ve gotcountermand— an “opposing command.” When you issue a countermand, you cancel the original command and usually replace it with a new one.Countermandis often used in a military context, but it can be applied more widely. If your parents tell you to take out the trash, you might countermand these orders by telling your little brother to do it instead."
protract,1. lengthen in time; cause to be or last longer,"Toprotractsomething is to stretch it out. If you have a disagreement with a friend that you continue for weeks and weeks, you areprotractingthe argument.",vt 延期…计划／行程表,"Protractcan also mean to draw a plan to scale. Basically when you protract something, you draw it out. You may remember from geometry that a protractor is a device used to draw exact angles. A protractor allows you to protract a plan for the perfect catapult â perfect to use to end a protracted battle."
spum,,,,
provocative,"1. serving or tending to provoke, excite, or stimulate; stimulating discussion or exciting controversy
2. exciting sexual desire","If something isprovocative, it provokes a reaction. Aprovocativebook might get people talking about a controversial idea. Aprovocativestatement, such as ""I hate babies,"" will get another kind of reaction.",                                                             刺激性的,"The action, thought, or feeling is often a desired one, called forth on purpose. In fact,provocativeis often used to describe actions or ways of dressing that cause sexual feelings. Butprovocativethings can also call forth something unwanted: ""She was angered by theprovocativeremarks."" This adjective was borrowed from Frenchprovocatif, from Late Latinprovocativus""calling forth,"" from Latinprovocare""to call forth, challenge."""
stymie,"1. hinder or prevent the progress or accomplishment of
2. a thwarting and distressing situation
3. a situation in golf where an opponent's ball blocks the line between your ball and the hole",The verbstymiemeans to obstruct or hinder. Constantly texting with your friends willstymieyour effort to finish your homework.,阻止某事的发生,"Stymiewas first used on the golf course in Scotland, where it referred to an opponent's ball blocking your own ballâs path to the cup. From there a verb sense developed, until finallystymiecame to mean blocking with any obstacle, not just a golf ball."
aggrieve,"1. cause to feel sorrow
2. infringe on the rights of","Toaggrievesomeone is a lousy thing to do. Not sure why? See the ""grieve"" in there, and you'll see why. It means to bring someone sorrow.",给某人带来痛苦,"Which one of us is the aggrieved party? Well, considering it was you who let your pigs run roughshod over my lawn, I think it's clear that it's you who aggrieved me. Or, to put it another way, I've been aggrieved by you and your horrible hogs. When you're talking about interpersonal issues, to aggrieve someone is to hurt their feelings, but in the legal sense, it means something slightly different: it's not feelings that are hurt when one is aggrieved, but one's rights."
rant,"1. talk in a noisy, excited, or declamatory manner
2. a loud bombastic declamation expressed with strong emotion
3. pompous or pretentious talk or writing","Arantis an argument that is fueled by passion, not shaped by facts. When the shouting starts on talk radio, or when a blog commenter resorts to ALL CAPS, you're almost certainly encountering arant.",大力地，带有感情的说,"Rantcomes from the Dutchranten, ""to talk nonsense.""Raveis a close synonym â in fact, ""torantand rave"" is a popular expression. Whenrantis used as a noun, it means something liketirade. The first recorded usage ofrantis from the end of the sixteenth century, in Shakespeare'sThe Merry Wives of Windsor. By the middle of the turbulent seventeenth century, the nameRanterswas used as a catchall pejorative for various groups of radical Christian dissenters."
exculpate,1. pronounce not guilty of criminal charges,"Toexculpatemeans to find someone not guilty of criminal charges. If you've been wrongly accused of robbery, you'd better hope a judge willexculpateyou, unless you want to go to jail because you've heard prison food is amazing.",赦免,"Exculpatecomes from two Latin words:ex-, meaning ""from,"" andculpa, meaning ""blame.""Exculpateis similar in meaning toexonerate. When you exonerate someone, you clear a person of an accusation and any suspicion that goes along with it.Exculpateusually refers more directly to clearing the charges against someone. So if that judge exculpates you from the robbery charge, everyone in town might still think you did it. Get him to exculpate and exonerate you."
disquisition,1. an elaborate analytical or explanatory essay or discussion,"Disquisitionis a long and elaborate word to describe a long and elaborate analysis of a given topic. If you launch into adisquisitionabout toe jam at a party, you'll soon be talking to a wall.",博士论文,"If you write a paper that looks at every single aspect of a topic, that essay can be called a disquisition. If you have a strong interest in something, chances are your friends and family have heard you give passionate disquisitions on it. Adisquisitionis an incredibly thorough reporting on a topic. Think of it as a discourse or a discussion of an inquisition or long investigation."
jejune,,"Use the adjective jejune to describe something that is uninteresting or insignificant. Many people claim to find celebrity gossip jejune, but ask them about a recent movie star scandal and chances are they know all about it.",幼稚的，无聊的话题／八卦，没有精神／智力营养的,"Jejune can also describe something that’s immature or simplistic. All that actress could say about her latest movie was that it was “Super fun”? That’s a pretty jejune comment. Basically jejune means lacking substance. It originally comes from the Latin word jejunus, which means “fasting,” so when something is jejune, it’s figuratively empty — devoid of intellectual nourishment."
insouciance,,"Insouciance is a feeling of careless indifference. There's a certain amount of lightheartedness in insouciance, but rather than merely being cheerful, someone with insouciance truly couldn't care less.",漫不经心,"nsouciance has roots in the French in, meaning not, and se soucier, meaning ""to care,"" giving the English word its ""uncaring"" meaning. Insouciance can be a positive state — like the childlike insouciance you feel when you are watching cartoons instead of paying your bills. However, insouciance is not always so sunny. Young voters are often accused of treating the right to vote with insouciance, meaning they just can't be bothered."
abstemious,,,"克制自己的 不要和神秘的搞混了",
adjudicate,,"To adjudicate is to act like a judge. A judge might adjudicate a case in court, and you may have to adjudicate in the local talent show.","正式判决 担任法官的职责去判决/评论某事 adjudicate on something","Do you see a similarity between judge and adjudicate? When you add the common Latin prefix ad meaning ""to"" or ""toward,"" you have a pretty good idea what the word means. But a judge isn't the only person who can adjudicate. If you're fighting with your little brother or sister and make them cry, your parents may adjudicate and send you to your room.
There's a 96% chance you know this word
Start learning it now
Add to List...
"
bog down,,You'd be pretty soggy by morning if you accidentally set your tent up in a bog. A bog is a swampy kind of ground made up mostly of decomposing plants and mosses.,"被...所缠身 bog down in detail拘泥于细节","Nothing can be built on a bog because the ground is so spongy and damp, and no crops can be grown there. The dried soil from a bog can, however, be dried and burned for fuel. A figurative bog is anything that you tend to get stuck in, like a bog of health problems. Things can also ""bog you down"", or slow you down literally or figuratively, like when your homework bogs you down so you can't enjoy the weekend."
perish,,"Perish means to die, but it suggests a slow, gradual, nonviolent death. Starving to death is perishing. Getting hit by a bus is just plain getting killed.",缓慢地死亡／凋零,"Perish is the kind of word you can imagine being spoken by a helpless princess in a fairy tale or any other damsel in distress––""If I am not rescued soon by my valiant knight,"" she might say, ""I shall perish if I'm left alone up here in this tower to starve."""
encounter,,"If you run into that cute guy (or girl) from the local deli when you’re at the grocery store and you stop to chat, you’ve just had an encounter, which is a casual meeting, often resulting by chance.
",与某人邂夠,"When you encounter the word encounter, context will tell you if it’s acting as a verb or a noun. The sentence “When Spencer and Susanna encountera bear on the trail, they stand very still” illustrates the verb form. “The encounter in the subway left her wishing she had stayed at home” shows the noun form. Whether acting as a verb or a noun, the word carries the connotation of “chance meeting."" You don’t plan an encounter; it just happens."
predate,,"To predate is to happen or exist before something else. If you move into a house that already has a ghost, the ghost predates you. Boo!",先于...存在／发生,"If your interest in soul music predates your sister's, you loved it first. When you use predate this way, you can read it as a combination of pre-, ""before,"" and date, ""point in time."" Another meaning of this verb is ""to prey on for food,"" so you could say that your cat predates the mice that live in your kitchen. This definition stems from predator, from the Latin praedator, ""plunderer."""
indescretion,,If you commit an indiscretion you are doing something wrong that shows a lack of judgment. Perhaps stealing candy was your first indiscretion. Likely it will not be your last.,"commit an indiscretion 不理智的行为","You'll often hear the word indiscretion used when referring to politicians or public figures caught in a scandal. Used this way, the word implies poor judgment for both the wrong and the fact that the politician got caught. If you are going to commit an indiscretion, it's best to be a bit discreet, or subtle, about it."
mundane,,"An ordinary, unexciting thing can be called mundane: ""Superman hid his heroic feats by posing as his mundane alter ego, Clark Kent.""",枯燥无味的，世俗的,"Mundane, from the Latin word mundus, ""world,"" originally referred to things on earth. Such things were supposed to be uninteresting when compared to the delights of Heaven; hence the word's present meaning. Writing about reality TV shows, a Newsweek writer opined, ""In reality bizarro-world, the mundane is presented as the spectacular"" — in other words, people's everyday routines are now televised as entertainment."
ebullient,,"More than chipper, more than happy, more than delighted is ebullient — meaning bubbling over with joy and delight.",(短期或长期)充满热情的,"There are two senses of the word of ebullient. One describes an immediate, and ultimately short-lived, reaction to a particular event — for example if you've just won the lottery, you are ebullient. The other describes someone who is perpetually upbeat and cheerful, for example, as in ""an ebullient personality."" Watch out for ebullient personalities: they can often be ""over the top"" as well."
measured,,"Things done in a deliberate, rhythmic way are measured. When you're walking toward a deer in the woods, trying not to scare it off, you'll take slow, measured steps.",沉着的（步伐，神态），有分寸的（企图／玩笑）,"When you meditate, you take measured breaths and pay attention to the inhale and exhale. And your measured strides up the side of a mountain trail will carry you more quickly to the top than short, erratic bursts of walking and stopping. Measured also means ""thoughtful"" or ""careful,"" like the measured words you use in your delicately worded resignation letter."
