序号,section,题号,单词,音标,释义,Unnamed: 6,Unnamed: 7
1509.0,S43,Q1,experimental,[ɛkˈspɛrɪˈmɛntəl],using a new way of doing or thinking about sth （霍叔叔提示：这个单词故意没写中文意思的，烦请背一下英文意思）,,
1510.0,S43,Q1,lucrative,[ˈlukrətɪv],有利可图的 producing wealth : profitable,,
1511.0,S43,Q2,ambivalent,[æmˈbɪvələnt],"矛盾的 simultaneous and contradictory attitudes or feelings toward an object, person, oraction ",,
1512.0,S43,Q2,unbound,[ʌnˈbaʊnd],自由的，解脱束缚的 not controlled or influenced by something,,
1513.0,S43,Q3,bourgeois,[ˌbʊrˈʒwɑ],中产阶级的 relating to or belonging to the middle class of society,,
1514.0,S43,Q3,capitulate,[kəˈpɪtʃuleɪt],屈服，让步 to stop trying to fight or resist something,,
1515.0,S43,Q3,cliché,['kli:ʃei],陈词滥调 a trite phrase or expression,,
1516.0,S43,Q3,passionate,[ˈpæʃənət],热情的，激情的 having strong emotions or beliefs : impassioned,,
1517.0,S43,Q4,monarchy,[ˈmɑnɚki],君主政体 a country that is ruled by a monarch (such as a king or queen),,
1518.0,S43,Q4,counterpart,[ˈkaʊntɚpɑrt],极相似的人或物 one having the same function or characteristics as another,,
1519.0,S43,Q4,discount,[dɪsˈkaʊnt],1. 贬损，低估 to think of something as having little importance or value,,
,,,,,2. 不理会 to leave out of account : disregard,,
1520.0,S43,Q4,emulate,[ˈɛmjulet],"（因为 admire）而竭力模仿（以便赶上/超过)strive to equal or excel by imitating ,especiallybecause you admire sb",,
1521.0,S43,Q4,anachronistic,[əˌnækrəˈnɪstɪk],"1. 时代错误的 something such as a word, an object, or an event that is mistakenly placed ina time where it does not belong in a story, movie, etc.",,
,,,,,2. 过时的  out of date or old-fashioned,,
1522.0,S43,Q4,egalitarian,[ɪˈgæləˈtɛrɪən],"平等主义者；平等主义的 aiming for equal wealth, status, etc., for all people",,
1523.0,S43,Q4,regal,[ˈriːɡl],"王室的 of, relating to, or suitable for a king or queen",,
1524.0,S43,Q5,milieu,[miːˈljɜː],(社会) 环境 the physical or social setting in which something occurs or develops :environment,,
1525.0,S43,Q5,rationalize,[ˈræʃnəlaɪz],使合理化 to  cause something to seem reasonable,,
1526.0,S43,Q5,salutary,[ˈsæljəˈtɛri],有益的 producing a beneficial effect : remedial,,
1527.0,S43,Q6,eschew,[ɪsˈtʃuː],"避免 to avoid something especially because you do not think it is right, proper, etc.",,
1528.0,S43,Q6,conspicuous,[kənˈspɪkjʊəs],显眼的 very easy to see or notice,,
1529.0,S43,Q6,pragmatic,[prægˈmætɪk],"务实的 dealing with something is based on practical considerations, rather than theoreticalones ",,
1530.0,S43,Q7,cede,[sid],"割让 to give control of something to another person, group, government, etc.",,
1531.0,S43,Q7,ascribe,[əˈskraɪb],"归因于 to refer to a supposed cause, source, or author",,
1532.0,S43,Q7,substitute,[ˈsʌbstɪtut],代替 to take the place of : replace,,
1533.0,S43,Q8,idle,[ˈaɪdl],"懒散的；无所事事的 not working, active, or being used",,
1534.0,S43,Q8,thwart,[θwɔrt],阻挠 to prevent someone from doing something or to stop something from happening,,
1535.0,S43,Q8,celebrated,[ˈsɛləˈbretɪd],著名的 widely known and often referred to,,
1536.0,S43,Q8,renowned,[rɪˈnaʊnd],著名的 widely acclaimed and highly honored : celebrated,,
1537.0,S43,Q8,anonymous,[əˈnɑnəməs],1. 匿名的 not named or identified,,
,,,,,2. 不明显的 not distinct or noticeable,,
1538.0,S43,Q8,obscure,[əbˈskjʊr],1. 复杂难懂的 difficult to understand,,
,,,,,2. 没有名气的 not famous or prominent,,
,,,,,"3. 使……模糊不清 to make dark, dim, or indistinct",,
1539.0,S43,Q9,accountability,[əˌkaʊntəˈbɪləti],有义务；有责任 an obligation or willingness to accept responsibility or to account for one'sactions,,
1540.0,S43,Q9,disarray,[ˌdɪsəˈreɪ],"混乱，无秩序 a lack of order or sequence : confusion, order",,
1541.0,S43,Q9,unruliness,"[,ʌn'rʊlɪnɪs]",任性 difficult to control,,
1542.0,S43,Q10,wane,[wen],"减弱; 减少 to drease in size, extent, or degree : dwindle",,
1543.0,S43,Q10,worsen,[ˈwɜːrsn],恶化 to make something worse or to become worse,,
1544.0,S43,Q10,decline,[dɪˈklaɪn],1. 下降 to become lower in amount or less in number,,
,,,,,2. 谢绝 to say that you will not or cannot do something,,
1545.0,S43,Q10,deteriorate,[dɪˈtɪrɪəret],恶化 to make something worse,,
1546.0,S44,Q1,a priori,"[,eiprai'ɔ:rai, ,ɑ:pri:'ɔ:ri]","1. 小的，少的 very small in degree or amountprinciple or fact, rather than on actual observed facts.：One assumes, a priori, that a parent",,
,,,,,人们通常推论，父母更善于处理问题。 霍叔叔提示: 这个词一定要注意 英文释义里的 “rather thanon actual observed facts”,,
1547.0,S44,Q1,vitiate,[ˈvɪʃieɪt],损害，弄坏 to make something less effective : to ruin or spoil,,
1548.0,S44,Q1,unencumbered,[ˌʌnɪnˈkʌmbərd],"无负担的; 无阻碍的 not burdened, impeded, or hampered",,
1549.0,S44,Q2,worldly,[ˈwɝldli],1.生活经验丰富的 having a lot of practical experience and knowledge about life and the,,
,,,,world,world,,
,,,,2.世俗的  relating to ordinary life rather than spiritual or religious ideas .,2.世俗的  relating to ordinary life rather than spiritual or religious ideas .,,
1550.0,S44,Q2,ethos,[ˈiːθɑːs],"(个人,集体,民族,制度等)理念,精神特质   the guiding beliefs of a person, group, or",,
,,,,organization,organization,,
1551.0,S44,Q2,paradox,[ˈpærədɑks],1. 自相矛盾 (的情况)  You describe a situation as a paradox when it involves two or more,,
,,,,facts or qualities that seem to contradict each other.,facts or qualities that seem to contradict each other.,,
,,,,2. 悖论，似非而是的说法  a statement that seems impossible because it contains two,2. 悖论，似非而是的说法  a statement that seems impossible because it contains two,,
,,,,opposing ideas that are both true,opposing ideas that are both true,,
1552.0,S44,Q3,disseminate,[dɪˈsɛmɪnet],散布，传播 to disperse throughout,,
1553.0,S44,Q3,molder,[ˈmoʊldər],"腐朽；崩塌 to crumble into particles : disintegrate, decay",,
1554.0,S44,Q3,pretentious,[prɪˈtɛnʃəs],"1. 适度的，适中的 average in size or amount : neither too much nor too littlemore impressive, successful, or important than they really are",,
1555.0,S44,Q3,indifference,[ɪnˈdɪfrəns],冷漠 lack of interest in or concern about something,,
1556.0,S44,Q4,frown,[fraʊn],"不同意,不喜欢 to give evidence of displeasure or disapproval by or as if by facial expression",,
1557.0,S44,Q4,rampant,[ˈræmpənt],猖獗的; 泛滥的 growing quickly and in a way that is difficult to control,,
1558.0,S44,Q4,disregard,[ˌdɪsrɪˈɡɑrd],忽视，不重视 to ignore something or treat something as unimportant,,
1559.0,S44,Q4,detriment,[ˈdɛtrɪmənt],损害，伤害  damage， injury,,
1560.0,S44,Q5,inexorable,[ɪnˈɛksərəbl],"不可阻挡的 not to be persuaded, moved, or stopped : relentless",,
1561.0,S44,Q5,precede,[prɪˈsid],"1. 先于 to happen, go, or come before something or someone",,
,,,,,"2. 超过，领先 to surpass in rank, dignity, or importance",,
1562.0,S44,Q5,hindsight,[ˈhaɪndsaɪt],后见之明 perception of the nature of an event after it has happened,,
1563.0,S44,Q5,entail,[ɪnˈtel],"使必要，需要，导致 to have something as a necessary part, step, or result :  contain，involve，include",,
1564.0,S44,Q5,evident,[ˈɛvɪdənt],明显的 clear to the sight or mind,,
1565.0,S44,Q6,optimize,[ˈɑptɪmaɪz],使优化 to make something as good or as effective as possible,,
1566.0,S44,Q6,legitimize,[lɪˈdʒɪtəmaɪz],使…合法 to make legitimate,,
1567.0,S44,Q6,augment,[ɔɡˈmɛnt],"增加 To augment something means to make it larger, stronger, or more effective byadding something to it.",,
1568.0,S44,Q6,disgorge,[dɪsˈɡɔːrdʒ],倒出 to let out or release something,,
1569.0,S44,Q6,acute,[əˈkjut],1. 严峻的 very serious or dangerous : requiring serious attention or action,,
,,,,,"1. 丢弃 to drop something from a moving ship, airplane, etc.obvious or simple about something",,
1570.0,S44,Q6,qualitative,[ˈkwɑlətetɪv],质的 of or relating to how good something is,,
1571.0,S44,Q6,entail,[ɪnˈtel],"1. 暴跌 a sudden decrease in prices, value, amount, etc.involve，include",contain，,
1572.0,S44,Q6,surplus,[ˈsɝpləs],过剩，多余 an amount that is more than the amount that is needed,,
1573.0,S44,Q6,facet,[ˈfæsɪt],方面  a part or element of something,,
1574.0,S44,Q7,proximity,[prɑkˈsɪməti],接近 the quality or state of being proximate : closeness,,
1575.0,S44,Q7,feign,[fen],假装 to pretend to feel or be affected by something,,
1576.0,S44,Q7,furtive,[ˈfɜːrtɪv],鬼鬼祟祟的，秘密的 done by stealth : surreptitious,,
1577.0,S44,Q8,hierarchical,[ˌhaɪəˈrɑrkɪkl],"1. 小的，少的 very small in degree or amountranks or positions, depending on how important they are.",,
1578.0,S44,Q8,heterogeneous,[ˈhɛtərəˈdʒinɪəs],由不同成分形成的 made up of parts that are different,,
1579.0,S44,Q9,confound,[kənˈfaʊnd],使吃惊; 使困惑 to surprise and confuse someone or something,,
1580.0,S44,Q9,enlighten,[ɪnˈlaɪtn],启发，教导 to give knowledge or understanding to someone,,
1581.0,S44,Q10,extroverted,['ɛkstro'vɝtɪd],"外向的 very active, lively, and friendly",,
1582.0,S44,Q10,conscientious,['kɑnʃɪ'ɛnʃəs],认真的，小心谨慎的 very careful about doing what you are supposed to do,,
1583.0,S44,Q10,visible,[ˈvɪzəbl],明显的 conspicuous,,
1584.0,S44,Q10,salient,[ˈselɪənt],显著的 very important or noticeable,,
1585.0,S45,Q1,anew,[əˈnʊ],重新；再 over again : once more,,
1586.0,S45,Q1,truism,[ˈtruːɪzəm],1. 没精打采的 feeling a lack of energy or a lack of interest in doing thingsobviously true,,
1587.0,S45,Q1,provocation,[ˌprɑvəˈkeʃən],挑衅 an action or occurrence that causes someone to become angry or to begin to dosomething,,
1588.0,S45,Q1,valediction,[ˌvælɪˈdɪkʃn],告别 an act of bidding farewell,,
1589.0,S45,Q2,ambivalent,[æmˈbɪvələnt],1. 彻底的（改变），根本的（改变） very new and different from what is traditional or ordinary :revolutionaryaction,,
1590.0,S45,Q2,unbound,[ʌnˈbaʊnd],自由的，解脱束缚的 not controlled or influenced by something,,
1591.0,S45,Q3,gossamer,[ˈɡɑːsəmər],"轻薄的 extremely light, delicate, or tenuous",,
1592.0,S45,Q3,contrivance,[kənˈtraɪvəns],计谋 an artificial arrangement or development,,
1593.0,S45,Q3,whim,[wɪm],"突发的念头 a sudden wish, desire, decision, etc.",,
1594.0,S45,Q3,archaic,[ɑrˈkeɪk],"陈旧的，古老的 of, relating to , or more primitive time : antiquated",,
1595.0,S45,Q3,robust,[roˈbʌst],1. 健康的，强健的 strong and healthy,,
,,,,,2.强有力的 (观点、见解) Robust views or opinions are strongly held and forcefullyexpressed.,,
1596.0,S45,Q3,emulation,[ˌɛmjəˈleʃən],1. 赶上(或超过)的雄心/努力.ambition or endeavor to equal or excel,,
,,,,,2. 仿效 the act of emulating or imitating,,
1597.0,S45,Q4,flout,[flaʊt],嘲笑，轻视 to treat with contemptuous disregard : scorn,,
1598.0,S45,Q4,subversiveness,[sʌb'və:sivnis],颠覆 Something that is subversive is intended to weaken or destroy a political system orgovernment.,,
1599.0,S45,Q4,culpability,[ˌkʌlpəˈbɪləti],"有过失；有罪 guilty, criminal",,
1600.0,S45,Q4,indiscriminate,[ˌɪndɪˈskrɪmɪnət],"1.任意而为的 If you describe an action as indiscriminate, you are critical of it because it doesnot involve any careful thought or choice.",,
,,,,,"2. 混合的 heterogeneous, motley",,
1601.0,S45,Q4,iconoclastic,[ˌkɑːnəˈklæstɪk],1. 安抚的 to make someone more friendly or less angryestablished beliefs and customs,,
1602.0,S45,Q4,temperate,[ˈtɛmpərət],温和的；适度的；有节制的 not extreme or excessive : mild,,
1603.0,S45,Q5,offish,[ˈɔːfɪʃ],1. 普通的，平淡的 of a commonplace or repetitious character : ordinaryother people.more 的理解，不会做可以加我微信:SATSCCR800）,（霍叔叔提示：本题最重要的突破点在于对 all the,
1604.0,S45,Q5,endorse,[ɪnˈdɔrs],"1. 丢弃 to drop something from a moving ship, airplane, etc.something",,
,,,,,nan,【上海云端教育·专注 GRE：添加微信 YunMengZe1020 获取机经】,
1605.0,S45,Q5,lucrative,[ˈlukrətɪv],有利可图的 producing wealth : profitable,,
1606.0,S45,Q5,monotonous,[məˈnɑtənəs],单调的 used to describe something that is boring because it is always the same,,
1607.0,S45,Q5,forgo,[fɔrˈɡo],放弃 to give up the use or enjoyment of something,,
1608.0,S45,Q5,dampen,[ˈdæmpən],抑制 to check or diminish the activity or vigor of : deaden,,
1609.0,S45,Q5,jockey,[ˈdʒɑːki],欺骗 to deal shrewdly or fraudulently with,,
1610.0,S45,Q5,detriment,[ˈdɛtrɪmənt],损害，伤害  damage， injury,,
1611.0,S45,Q6,precedent,[ˈprɛsɪdənt],前例，先例 an earlier occurrence of something similar,,
1612.0,S45,Q6,recession,[rɪˈsɛʃən],经济衰退; 萧条 a period of reduced economic activity,,
1613.0,S45,Q6,rampant,[ˈræmpənt],猖獗的; 泛滥的 growing quickly and in a way that is difficult to control,,
1614.0,S45,Q6,slump,[slʌmp],"1. 暴跌 a sudden decrease in prices, value, amount, etc.",,
,,,,,2. 经济萧条时期 a period of time when an economy is doing poorly,,
1615.0,S45,Q6,spate,[speɪt],大量 a large number or amount,,
1616.0,S45,Q6,ambiguous,[æmˈbɪɡjuəs],"模棱两可的,引起歧义的 not expressed or understood clearly",,
1617.0,S45,Q6,consolidate,[kənˈsɑlɪdet],巩固 to make firm or secure : strengthen,,
1618.0,S45,Q6,stimulant,[ˈstɪmjələnt],刺激物 stimulus,,
1619.0,S45,Q6,concomitant,[kənˈkɑmətənt],相伴的，伴随的 happening at the same time as something else,,
1620.0,S45,Q7,slight,[slaɪt],1. 小的，少的 very small in degree or amount,,
,,,,,"2. 脆弱的 lacking in strength or substance : flimsy, frail",,
1621.0,S45,Q7,laud,[lɔːd],"赞美；称赞 praise, acclaim",,
1622.0,S45,Q7,disparage,[dɪˈspærɪdʒ],"诋毁 to describe someone or something as unimportant, weak, bad, etc.",,
1623.0,S45,Q8,sway,[swe],"摇摆，波动 to fluctuate or veer between one point, position, or opinion and another",,
1624.0,S45,Q8,defy,[ˈdifaɪ],1. 易受别人影响的 capable of being easily changed or influencedsomeone in authority tells you to do： disregard，disobey，rebel,,
1625.0,S45,Q8,disregard,[ˌdɪsrɪˈɡɑrd],忽视，不重视 to ignore something or treat something as unimportant,,
1626.0,S45,Q9,somnolent,[ˈsɑːmnələnt],昏昏欲睡的 tired and ready to fall asleep,,
1627.0,S45,Q9,impartial,[ɪmˈpɑrʃəl],公平公正的 treating all people and groups equally : not partial or biased,,
1628.0,S45,Q9,lethargic,[ləˈθɑːdʒɪk],1. 没精打采的 feeling a lack of energy or a lack of interest in doing things,,
,,,,,"2. 冷淡的 indifferent, apathetic",,
1629.0,S45,Q9,laconic,[ləˈkɑːnɪk],言简意赅的 using few words in speech or writing,,
1630.0,S45,Q9,befuddled,[bɪˈfʌdld],"困惑的 confused, perplexed",,
1631.0,S45,Q9,evenhanded,[ˈiːvənˈhændɪd],"公平的 fair, impartial",,
1632.0,S45,Q10,radical,[ˈrædɪkl],1. 彻底的（改变），根本的（改变） very new and different from what is traditional or ordinary :revolutionary,,
,,,,,2. 基本的，基础的 very basic and important,: fundamental,
,,,,,3. 激进的 having extreme political or social views that are not shared by most people,,
1633.0,S45,Q10,moderate,[ˈmɑdərət],1. 适度的，适中的 average in size or amount : neither too much nor too little,,
,,,,,"2. 温和的 calm, temperate",,
1634.0,S45,Q10,conform,[kənˈfɔrm],(与法律、愿望等) 相符合 to obey or agree with something,,
1635.0,S45,Q10,accede,[əkˈsid],1. 同意 to agree to a request or a demand,,
,,,,,2. 就任 to enter a high office or position,,
1636.0,S45,Q10,meddle,[ˈmɛdl],干涉 interfere without right or propriety,,
1637.0,S45,Q10,square,[skwɛr],与…一致 bring into agreement,,
1638.0,S46,Q1,facilitate,[fəˈsɪləˈtet],促进 to make easier,,
1639.0,S46,Q1,rigorous,[ˈrɪɡərəs],1. 严格缜密的 very strict and demanding,,
,,,,,1. 安抚的 to make someone more friendly or less angry3. （气候、环境）严酷的 difficult to endure because of extreme conditions,,
1640.0,S46,Q1,sanguine,[ˈsæŋɡwɪn],自信乐观的 confident and hopeful,,
1641.0,S46,Q1,punctilious,[pʌŋkˈtɪliəs],1.  镇压 to end or stop something usually by using forceand accurate way,,
1642.0,S46,Q1,unorthodox,[ʌnˈɔːrθədɑːks],"非正统的; 另类的 If you describe someone's behaviour, beliefs, or customs as unorthodox,you mean that they are different from what is generally accepted.",,
1643.0,S46,Q2,expedient,[ɪkˈspidɪənt],权宜的；方便的 providing an easy and quick way to solve a problem or do something,,
1644.0,S46,Q2,reminiscent,[ˌremɪˈnɪsnt],令人想起的 reminding you of someone oe something else,,
1645.0,S46,Q2,inimical,[ɪˈnɪmɪkl],1. 不利的，有害的 likely to cause damage or have a bad effect,,
,,,,,2. 不友好的，敌意的 not friendly : hostile,,
1646.0,S46,Q3,empirical,[ɪmˈpɪrɪkl],实证的 based on practical experience rather than theories,,
1647.0,S46,Q3,jettison,[ˈdʒɛtɪsn],"1. 丢弃 to drop something from a moving ship, airplane, etc.",,
,,,,,2. 拒绝 to get rid of something : to reject something,,
1648.0,S46,Q4,peddle,[ˈpɛdl],"散布 (某观点或信息)  If someone peddles an idea or a piece of information, they try to getpeople to accept it.",,
1649.0,S46,Q4,promote,[prəˈmot],1. 易受别人影响的 capable of being easily changed or influenced下英文意思）,,
1650.0,S46,Q4,inspire,[ɪnˈspaɪɚ],"to cause sth to happen or be created （霍叔叔提示：这个单词故意没写中文意思的,烦请背一下英文意思）",,
1651.0,S46,Q4,prominence,[ˈprɑmɪnəns],"突出,显著, 重要 the state of being important, well-known, or noticeable",,
1652.0,S46,Q4,undermine,[ˈʌndɚˈmaɪn],1. 使变得，使处于〔某种状态〕+ADJ   cause to becomegradual way,,
1653.0,S46,Q5,corroborate,[kəˈrɑbəret],证实 to support with evidence or authority : make more certain,,
1654.0,S46,Q5,dispel,[dɪˈspɛl],"消除 (想法或感觉)to make(something ,such as a belief , idea or feeling) go away or end",,
1655.0,S46,Q5,hazardous,[ˈhæzɚdəs],危险的 involving risk or danger,,
1656.0,S46,Q6,provocative,[prəˈvɑkətɪv],"1. 引发讨论的 ，思考的，争论的 causing discussion, thought, argument, etc.  Provocativebook .",,
,,,,,nan,【上海云端教育·专注 GRE：添加微信 YunMengZe1020 获取机经】,
,,,,,"2 挑衅的 If you describe something as provocative, you mean that it is intended to makepeople react angrily or argue against it.",,
1657.0,S46,Q6,captivate,[ˈkæptɪveɪt],"迷住，吸引 to attract and hold the attention if someone by being interesting, pretty, etc.",,
1658.0,S46,Q6,outrage,[ˈaʊtredʒ],愤怒 extreme anger,,
1659.0,S46,Q7,assert,[əˈsɝt],主张；声称 to state something in a strong and definite way,,
1660.0,S46,Q7,concede,[kənˈsid],1. (常指不情愿地) 承认 to admit something usually in an unwilling way,,
,,,,,2. 承认 (失败) to admit that you have been defeated and stop trying to win,,
1661.0,S46,Q7,ponder,[ˈpɑndɚ],仔细思考 to think about or consider something carefully,,
1662.0,S46,Q8,subtle,[ˈsʌtl],1.不易察觉的 hard to notice or see : not obvious,,
,,,,,"2. 难以理解的 difficult to understand or perceive : obscure1. 有道德原则的，正直的 Someone who is scrupulous takes great care to do what is fair,honest, or morally right4. 敏感的，有洞察力的 having or showing skill at recognizing and understanding things that",,
,,,,,are not obvious,,
1663.0,S46,Q8,adverse,[ædˈvɚsˌ ˈædˌvɚs],不利的 bad or unfavorable : not good,,
1664.0,S46,Q8,restorative,[rɪˈstɔːrətɪv],恢复健康的 having the ability to make a person feel strong or healthy again,,
1665.0,S46,Q9,introspective,[ˈɪntrəˈspɛktɪv],反省的; 内省的 an examination of one's own thoughts and feelings,,
1666.0,S46,Q9,meticulous,[məˈtɪkjələs],小心谨慎的 very careful about doing something in an extremely accurate and exact way,,
1667.0,S46,Q9,thorough,[ˈθɜro],彻底的；十分的 exhaustive,,
1668.0,S46,Q10,collegiality,"[kə,lidʒɪ'ɑləti]",同事关系 the cooperative relationship of colleagues,,
1669.0,S46,Q10,exactitude,[ɪɡˈzæktɪtuːd],准确 the quality or state of being accurate and correct,,
1670.0,S46,Q10,eminence,[ˈɛmɪnəns],显赫声名 a condition of being well-known and successful,,
1671.0,S46,Q10,tenacity,[təˈnæsɪti],执着 very determined and do not give up easily,,
1672.0,S47,Q1,poignant,[ˈpɔɪnjənt],"1. 令人伤心的,充满同情的 causing a strong feeling of sadness",,
,,,,,2. 恰当的 being to point,,
1673.0,S47,Q1,condescending,[ˌkɒndɪˈsendɪŋ],显得高人一等的 showing that you believe you are moe intelligent or better tan otherpeople,,
1674.0,S47,Q1,disingenuous,[ˌdɪsɪnˈdʒenjuəs],1. 同意  the act of agreeing to a demand formalcalculating,,
1675.0,S47,Q1,lament,[ləˈmɛnt],"哀悼，悲叹 to express sorrow, regret, or unhappiness about something",,
1676.0,S47,Q2,mercenary,[ˈmɝsənɛri],唯利是图的 caring only about making money,,
1677.0,S47,Q2,conciliatory,[kənˈsɪliətɔːri],1. 安抚的 to make someone more friendly or less angry,,
,,,,,2. 调解的 to make compatible : reconcile,,
1678.0,S47,Q2,paradigmatic,[ˌpærədɪɡˈmætɪk],典范的 act as a model or example for something,,
1679.0,S47,Q2,contentious,[kənˈtɛnʃəs],引起争议的 likely to cause disagreement or argument,,
1680.0,S47,Q2,supplementary,[ˌsʌplɪˈmɛntri],补充的 added or serving as a supplement : additional,,
1681.0,S47,Q3,hedge,[hɛdʒ],"(由 hedge 原义""树篱""引申出的) 限制，障碍 limit",", barrier",
1682.0,S47,Q3,absolute,['æbsəlut],1.不受限制[约束]的 not restricted or limited,,
,,,,,1. 窒息 to die because you are unable to breathe3.完全的；彻底的 complete or total,,
1683.0,S47,Q3,qualification,[ˌkwɑlɪfɪˈkeʃən],"1.限制,限制性的条件 sth that is added to a statement to limit or change its effect or meaning.(霍叔叔提示：此题不知道 qualification 有限制的意思意思必挂！ 还不懂可以加霍叔叔微信问我：",,
,,,,,satsccr800）,,
,,,,,2.资格,,
1684.0,S47,Q3,reiterate,[rɪˈɪtəret],重申；反复地做 to repeat something you have already said in order to emphasize it,,
1685.0,S47,Q4,exclusively,[ɪkˈsklʊsɪvli],"1. 脆弱的 not certain, definite, or strong : flimsy, weak, or uncertainthing or things mentioned, and nothing else.",,
1686.0,S47,Q4,frown,[fraʊn],"不同意,不喜欢  to give evidence of displeasure or disapproval by or as if by facialexpression",,
1687.0,S47,Q4,rampant,[ˈræmpənt],猖獗的; 泛滥的 growing quickly and in a way that is difficult to control,,
1688.0,S47,Q4,disregard,[ˌdɪsrɪˈɡɑrd],忽视，不重视 to ignore something or treat something as unimportant,,
1689.0,S47,Q4,detriment,[ˈdɛtrɪmənt],损害，伤害  damage， injury,,
1690.0,S47,Q5,get in the way,[ɡɛt] [ɪn] [ðə] [we],妨碍，阻碍,,
1691.0,S47,Q5,render,[ˈrɛndɚ],1. 使变得，使处于〔某种状态〕+ADJ   cause to become,,
,,,,,1. 沉思 musingly or dreamily thoughtful3. 放弃；让与；交出(与 up 连用)：give up ，yield,,
,,,,,1. 没兴趣的，冷淡的 marked by a lack of enthusiasm : apatheticsth; render sth (in) sth,,
1692.0,S47,Q5,enamored,[enˈæməd],迷恋的；倾心的  captivated， charming,,
1693.0,S47,Q6,prestigious,[prɛˈstɪdʒəs],有名望的 having prestige : honored,,
1694.0,S47,Q6,anomalous,[əˈnɑmələs],"反常的  not expected or usual : irregular, unusual",,
1695.0,S47,Q7,expeditious,[ˌɛkspəˈdɪʃəs],迅速的；敏捷的 acting or done in a quick and efficient way,,
1696.0,S47,Q7,pecuniary,[pɪˈkjuːnieri],金钱的 relating to or in the form of money,,
1697.0,S47,Q7,arbitrary,[ˈɑrbətrɛri],任意的；武断的 not planned or chosen for a particular reason : not based on reason orevidence,,
1698.0,S47,Q7,sluggish,[ˈslʌɡɪʃ],"缓慢的; 迟钝的 moving slowly or lazily : indolent, torpid",,
1699.0,S47,Q7,capricious,[kəˈprɪʃəs],"反复无常的; 易变的 changing often and quickly : impulsive, unpredicatable",,
1700.0,S47,Q7,dilatory,[ˈdɪlətɔːri],拖拉的 characterized by procrastination : tardy,,
1701.0,S47,Q8,opaque,[oˈpek],1. 难理解的 difficult to understand or explain,,
,,,,,2. 不透明的 not letting light through : not transparent,,
1702.0,S47,Q8,scrupulous(ness),['skru:pjuləsnis],"1. 有道德原则的，正直的 Someone who is scrupulous takes great care to do what is fair,honest, or morally right",,
,,,,,"2. 极仔细认真的 , 一丝不苟的  very careful about doing something correctly",,
1703.0,S47,Q8,mendacity,[menˈdæsəti],谎言；虚伪 lack of honesty : the condition of being mendacious,,
1704.0,S47,Q8,artless,['ɑrtləs],1. 普通的，平淡的 of a commonplace or repetitious character : ordinaryother people.,,
1705.0,S47,Q8,artful,['ɑrtfl],"狡猾的 If you describe someone as artful, you mean that they are clever and skilful atachieving what they want, especially by deceiving people.",,
1706.0,S47,Q8,polish,[ˈpɑlɪʃ],使完美; 改进 to improve something : to make something better than it was before,,
1707.0,S47,Q8,meticulousness,[məˈtɪkjələsnəs],小心谨慎 very careful about doing something in an extremely accurate and exact way,,
1708.0,S47,Q9,avert,[əˈvɝt],1. 避免，防止 to prevent something bad frm happening :  avoid,,
,,,,,"2. 转移（视线）to turn (your eyes, gaze, etc.) away or aside",,
1709.0,S47,Q9,forestall,[fɔːrˈstɔːl],1.预先阻止 to stop something from happening or to cause something to happen at a latertime,,
,,,,,2.在…之前行动，比…先采取行动 : to get ahead of : anticipate,,
1710.0,S47,Q9,anticipate,[ænˈtɪsəˈpet],1. 预期/料 to expect that sth will happen and be ready for it,,
,,,,,2. 期待(好事）to think about sth good that is gonna happen.,,
,,,,,3. 先于…之前(做) to do sth before sb else : forestall,,
1711.0,S47,Q9,wrest,[rest],"抢夺 to gain with difficulty by or as if by force, violence, or determined labor",,
1712.0,S47,Q9,negligible,[ˈnɛɡlɪdʒəbl],微不足道的，可以忽略的 very small or unimportant,,
1713.0,S47,Q9,restorative,[rɪˈstɔːrətɪv],恢复健康的 having the ability to make a person feel strong or healthy again,,
1714.0,S48,Q1,notoriety,[ˌnoʊtəˈraɪəti],声名狼藉 the condition of being famous or well-known especially for something bad,,
1715.0,S48,Q1,sanguine,[ˈsæŋɡwɪn],自信乐观的 confident and hopeful,,
1716.0,S48,Q1,zealous,[ˈzɛləs],"热情的 feeling or showing strong and energetic support for a person, cause, etc. : filledwith zeal",,
1717.0,S48,Q1,candid,[ˈkændɪd],直言不讳的; 坦率的 expressing opinions and feelings in an honest and sincere way,,
1718.0,S48,Q1,apathetic,[ˌæpəˈθɛtɪk],没兴趣的 having little or interest or concern： indifferent,,
1719.0,S48,Q2,spontaneity,[ˌspɑːntəˈneɪəti],自发行为; 自然举动 the quality or state of being spontaneous,,
1720.0,S48,Q2,derision,[dɪˈrɪʒn],嘲笑 the use of ridicule or scorn to show contempt,,
1721.0,S48,Q2,sacrosanct,[ˈsækroʊsæŋkt],神圣不可侵犯的 treated as if holy : inviolable,,
1722.0,S48,Q2,ephemeral,[əˈfɛmərəl],短暂的 lasting a very short time,,
1723.0,S48,Q2,malleable,[ˈmæliəbl],1. 易受别人影响的 capable of being easily changed or influenced,,
,,,,,2. 延展性好的 capable of being stretched or bent into different shapes,,
1724.0,S48,Q2,egalitarian,[ɪˈgæləˈtɛrɪən],"平等主义者；平等主义的 aiming for equal wealth, status, etc., for all people",,
1725.0,S48,Q2,autonomous,[ɔˈtɑnəməs],自治的 having the power or right to govern itself,,
